295 476 205 433 935 200
296 484 190 468 952 172
286 494 180 483 972 151
276 476 214 499 937 212
276 481 209 527 947 190
258 434 234 508 851 228
265 480 199 531 944 145
272 470 196 539 925 122
278 462 196 534 908 120
268 440 202 491 864 171
291 438 199 505 858 145
311 446 197 509 875 133
299 444 190 450 872 134
302 446 186 423 875 140
304 437 192 417 857 150
309 468 158 436 919 78
306 457 167 435 896 125
264 453 220 352 889 210
277 465 221 381 912 213
267 468 215 361 919 213
299 234 209 425 452 215
300 246 224 425 476 259
301 451 209 422 887 239
304 466 210 424 917 235
314 465 209 439 914 222
311 474 205 427 932 203
310 474 202 414 931 184
310 460 200 403 905 171
322 463 189 406 910 136
325 441 210 378 865 166
335 450 194 355 883 140
332 452 183 360 888 145
327 452 168 372 888 135
323 438 180 378 861 162
334 436 185 376 856 174
347 439 185 329 862 174
367 437 184 298 858 175
364 437 189 308 857 182
364 436 187 320 855 178
360 436 187 324 855 175
359 433 190 326 848 184
328 461 191 263 905 212
325 454 194 253 891 238
312 456 206 223 895 260
328 452 204 252 887 256
358 237 187 308 457 219
360 236 176 311 456 195
368 446 170 320 876 173
363 470 173 304 923 165
364 484 165 297 951 141
343 516 185 250 1014 178
345 513 178 260 1009 160
327 490 179 233 966 154
313 454 198 211 892 182
295 459 196 178 907 219
293 452 190 181 888 231
308 428 182 218 847 220
308 435 179 232 860 233
312 438 180 248 869 216
286 450 192 203 892 232
304 452 182 240 892 204
284 452 193 200 889 221
284 455 191 199 890 217
284 455 187 199 890 229
303 440 173 228 860 208
304 440 172 224 860 209
309 438 167 230 857 194
300 445 168 208 870 210
308 447 161 222 874 190
288 449 183 191 878 211
286 443 186 196 866 201
292 446 185 218 875 205
293 453 185 226 888 210
281 427 183 206 837 209
285 466 195 217 915 232
290 470 196 232 922 248
300 470 187 256 920 251
301 469 179 261 922 250
279 473 177 213 929 254
298 456 169 252 895 244
322 459 167 303 900 234
341 446 142 342 874 171
342 463 140 340 908 167
342 463 140 340 908 167
341 446 142 342 874 171
322 459 167 303 900 234
298 456 169 252 895 244
279 473 177 213 929 254
301 469 179 261 922 250
300 470 187 256 920 251
290 470 196 232 922 248
285 466 195 217 915 232
281 427 183 206 837 209
293 453 185 226 888 210
292 446 185 218 875 205
286 443 186 196 866 201
288 449 183 191 878 211
308 447 161 222 874 190
300 445 168 208 870 210
309 438 167 230 857 194
304 440 172 224 860 209
303 440 173 228 860 208
284 455 187 199 890 229
284 455 191 199 890 217
284 452 193 200 889 221
304 452 182 240 892 204
286 450 192 203 892 232
312 438 180 248 869 216
308 435 179 232 860 233
308 428 182 218 847 220
293 452 190 181 888 231
295 459 196 178 907 219
313 454 198 211 892 182
327 490 179 233 966 154
345 513 178 260 1009 160
343 516 185 250 1014 178
364 484 165 297 951 141
363 470 173 304 923 165
368 446 170 320 876 173
360 236 176 311 456 195
358 237 187 308 457 219
328 452 204 252 887 256
312 456 206 223 895 260
325 454 194 253 891 238
328 461 191 263 905 212
359 433 190 326 848 184
360 436 187 324 855 175
364 436 187 320 855 178
364 437 189 308 857 182
367 437 184 298 858 175
347 439 185 329 862 174
334 436 185 376 856 174
323 438 180 378 861 162
327 452 168 372 888 135
332 452 183 360 888 145
335 450 194 355 883 140
325 441 210 378 865 166
322 463 189 406 910 136
310 460 200 403 905 171
310 474 202 414 931 184
311 474 205 427 932 203
314 465 209 439 914 222
304 466 210 424 917 235
301 451 209 422 887 239
300 246 224 425 476 259
299 234 209 425 452 215
267 468 215 361 919 213
277 465 221 381 912 213
264 453 220 352 889 210
306 457 167 435 896 125
309 468 158 436 919 78
304 437 192 417 857 150
302 446 186 423 875 140
299 444 190 450 872 134
311 446 197 509 875 133
291 438 199 505 858 145
268 440 202 491 864 171
278 462 196 534 908 120
272 470 196 539 925 122
265 480 199 531 944 145
258 434 234 508 851 228
276 481 209 527 947 190
276 476 214 499 937 212
286 494 180 483 972 151
296 484 190 468 952 172
295 476 205 433 935 200
